iter	Passed	Remaining
400	17005	110220
401	17069	110314
402	17130	110388
403	17202	110537
404	17248	110515
405	17291	110479
406	17342	110489
407	17397	110522
408	17457	110593
409	17511	110621
410	17566	110655
411	17622	110693
412	17676	110721
413	17715	110656
414	17759	110624
415	17799	110560
416	17847	110554
417	17906	110608
418	17955	110605
419	18017	110677
420	18063	110653
421	18106	110611
422	18146	110549
423	18185	110486
424	18228	110441
425	18272	110409
426	18313	110351
427	18354	110299
428	18394	110238
429	18434	110180
430	18476	110130
431	18523	110113
432	18571	110099
433	18614	110058
434	18652	109986
435	18690	109916
436	18736	109886
437	18777	109833
438	18817	109776
439	18857	109716
440	18897	109654
441	18937	109595
442	18978	109544
443	19023	109512
444	19064	109461
445	19111	109440
446	19151	109382
447	19194	109341
448	19236	109294
449	19275	109230
450	19323	109212
451	19360	109137
452	19396	109059
453	19433	108983
454	19473	108924
455	19510	108847
456	19548	108778
457	19585	108703
458	19625	108647
459	19668	108606
460	19708	108548
461	19748	108487
462	19791	108445
463	19844	108460
464	19888	108423
465	19927	108362
466	19967	108305
467	20006	108239
468	20053	108218
469	20099	108196
470	20144	108165
471	20183	108103
472	20221	108034
473	20262	107982
474	20302	107921
475	20338	107845
476	20377	107781
477	20419	107734
478	20457	107668
479	20498	107617
480	20541	107576
481	20581	107518
482	20620	107455
483	20665	107427
484	20706	107373
485	20752	107348
486	20792	107290
487	20834	107248
488	20872	107177
489	20911	107115
490	20950	107056
491	21005	107077
492	21059	107090
493	21117	107125
494	21162	107094
495	21208	107067
496	21248	107012
497	21286	106947
498	21330	106909
499	21371	106856
500	21416	106825
501	21461	106796
502	21507	106767
503	21550	106725
504	21589	106667
505	21634	106634
506	21671	106562
507	21708	106491
508	21755	106470
509	21795	106414
510	21831	106339
511	21868	106266
512	21905	106194
513	21941	106120
514	21977	106046
515	22017	105992
516	22063	105963
517	22101	105901
518	22139	105832
519	22178	105773
520	22219	105725
521	22268	105710
522	22306	105646
523	22348	105602
524	22391	105558
525	22433	105513
526	22473	105458
527	22515	105413
528	22554	105354
529	22594	105301
530	22641	105277
531	22684	105236
532	22721	105164
533	22758	105099
534	22801	105056
535	22849	105040
536	22899	105028
537	22943	104996
538	22986	104952
539	23026	104897
540	23071	104864
541	23112	104818
542	23156	104781
543	23196	104726
544	23243	104704
545	23285	104654
546	23331	104628
547	23375	104591
548	23422	104568
549	23467	104534
550	23514	104515
551	23560	104485
552	23600	104431
553	23637	104362
554	23674	104295
555	23712	104231
556	23751	104173
557	23801	104163
558	23838	104095
559	23874	104026
560	23917	103984
561	23953	103912
562	23991	103850
563	24034	103807
564	24079	103777
565	24158	103888
566	24204	103860
567	24249	103829
568	24289	103775
569	24333	103736
570	24369	103668
571	24411	103620
572	24449	103560
573	24488	103498
574	24528	103446
575	24568	103393
576	24605	103326
577	24650	103294
578	24695	103258
579	24732	103193
580	24770	103133
581	24812	103085
582	24853	103035
583	24905	103035
584	24952	103010
585	24995	102967
586	25036	102918
587	25077	102867
588	25116	102810
589	25156	102759
590	25200	102720
591	25244	102684
592	25285	102636
593	25325	102580
594	25364	102524
595	25403	102467
596	25444	102418
597	25482	102355
598	25521	102299
599	25562	102251
600	25599	102186
601	25644	102153
602	25686	102106
603	25725	102051
604	25767	102004
605	25813	101975
606	25854	101926
607	25896	101882
608	25939	101841
609	25984	101807
610	26026	101761
611	26069	101723
612	26118	101705
613	26160	101661
614	26204	101623
615	26250	101592
616	26294	101555
617	26336	101510
618	26376	101457
619	26419	101418
620	26458	101358
621	26497	101303
622	26538	101254
623	26574	101186
624	26615	101139
625	26661	101108
626	26701	101056
627	26745	101018
628	26783	100958
629	26820	100895
630	26859	100840
631	26901	100794
632	26943	100749
633	26988	100718
634	27030	100674
635	27074	100635
636	27113	100579
637	27152	100524
638	27197	100491
639	27250	100486
640	27298	100464
641	27342	100425
642	27382	100375
643	27439	100385
644	27479	100331
645	27517	100272
646	27563	100241
647	27606	100201
648	27647	100151
649	27686	100097
650	27735	100076
651	27776	100028
652	27821	99994
653	27868	99969
654	27916	99944
655	27965	99923
656	28002	99862
657	28039	99801
658	28075	99734
659	28117	99688
660	28161	99650
661	28203	99605
