iter	Logloss
0	0.6669700012
1	0.6430611565
2	0.6206761477
3	0.5996616232
4	0.5802811874
5	0.5623427523
6	0.5455645285
7	0.5302190253
8	0.5153218673
9	0.5013686854
10	0.4885809192
11	0.4764972789
12	0.4650567471
13	0.4548610179
14	0.4455565706
15	0.4364676556
16	0.4280556486
17	0.4204582978
18	0.4132964706
19	0.4063103121
20	0.4000898541
21	0.3940670954
22	0.3882879297
23	0.38307629
24	0.3781371433
25	0.3736107909
26	0.3692707585
27	0.3652268809
28	0.3615161381
29	0.3578838126
30	0.3546566099
31	0.3514910915
32	0.3484690724
33	0.3457426902
34	0.3429620263
35	0.340401262
36	0.3381350877
37	0.335876371
38	0.3339132538
39	0.3319079037
40	0.330055472
41	0.3284464644
42	0.3267927002
43	0.3252472978
44	0.3236989777
45	0.3222664356
46	0.3208643206
47	0.3195684204
48	0.3182617436
49	0.3170988769
50	0.315938462
51	0.3148666569
52	0.3138640314
53	0.3128788241
54	0.3119428094
55	0.3110247542
56	0.3101395088
57	0.3093507673
58	0.3085667331
59	0.3078431819
60	0.3071307882
61	0.3064449827
62	0.3057953869
63	0.3051525867
64	0.3045165239
65	0.3038595459
66	0.3032896901
67	0.3027250874
68	0.3021663276
69	0.3015699031
70	0.3010219379
71	0.3004947785
72	0.2999852738
73	0.2995196299
74	0.2990413994
75	0.2986297652
76	0.298185856
77	0.2977307964
78	0.2972818453
79	0.2968222873
80	0.2963985807
81	0.296015291
82	0.2956194244
83	0.295208829
84	0.2948439597
85	0.2944593566
86	0.2940705946
87	0.2937094987
88	0.2933765723
89	0.2930223702
90	0.2926767395
91	0.2923311025
92	0.2919632324
93	0.2916106106
94	0.291284069
95	0.2909513197
96	0.2906427678
97	0.2903119185
98	0.2899803543
99	0.2896640943
100	0.2893628312
101	0.2890820761
102	0.2887950393
103	0.2884869256
104	0.2882066743
105	0.2879128865
106	0.2876139663
107	0.2873365052
108	0.2870553567
109	0.2867648477
110	0.2865012193
111	0.2862372674
112	0.2859576667
113	0.2856845199
114	0.2854146807
115	0.2851509041
116	0.2848852686
117	0.284641689
118	0.2843898188
119	0.2841429991
120	0.2838847778
121	0.2836267987
122	0.28337968
123	0.2831434546
124	0.2828829604
125	0.2826399575
126	0.2824035071
127	0.2821600407
128	0.281916027
129	0.2816601179
130	0.2814306053
131	0.2811742766
132	0.2809272754
133	0.2806654211
134	0.2804167127
135	0.2801758343
136	0.2799666397
137	0.2797360533
138	0.2795050652
139	0.279276656
140	0.2790524953
141	0.2788218271
142	0.2785994283
143	0.2783661599
144	0.2781592054
145	0.2779462465
146	0.2777315581
147	0.2775127851
148	0.2772816672
149	0.2770655236
150	0.2768444964
151	0.2766230729
152	0.2764172193
153	0.2761978313
154	0.2759925711
155	0.2757796886
156	0.2755606875
157	0.275357089
158	0.2751682099
159	0.2749607382
160	0.274765518
161	0.2745603243
162	0.2743435938
163	0.2741535377
164	0.2739597673
165	0.2737577933
166	0.2735621589
167	0.2733733608
168	0.2731805946
